id,name,category,identity_verified,website_verified,fees_verified,placements_verified,seats_verified,cutoffs_verified,rankings_verified,primary_source_fees,primary_source_placements,primary_source_seats,fees_status,placements_status,seats_status
"C-68018","SYMBIOSIS CENTRE FOR MANAGEMENT STUDIES, HYDERABAD","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Telangana (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68023","EKLAVYA INSTITUTE OF TECHNOLOGY KUNJARA LAILUNGA RAIGARH","Legacy Core","true","","true","","","","true","TNEA 2024 Official Notification","None","None","official_verified","unavailable","unavailable"
"C-68088","RAJKIYA MAHAVIDHYALAYA RAMGARH, NAINITAL","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Uttarakhand (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68122","JAWAHARLAL INSTITUTE OF TECHNOLOGY BORAWAN M C A","Legacy Core","true","true","true","","","","true","AFRC MP 2024-25 Order No. 147","None","None","official_verified","unavailable","unavailable"
"C-68171","VIIT PHARMACY COLLEGE","Legacy Core","true","true","true","","","","true","AFRC UP 2024-25 Official Order","None","None","official_verified","unavailable","unavailable"
"C-68219","DR NITIN HUMANE COLLEGE OF HOTEL MAMAGEMENT AND PROFESSIONAL COURSES, VIHIRGAON NAGPUR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68229","SHRI JIVAN JYOT SANITARY INSPECTOR COLLEGE","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68233","GURJAR BHARTI INSTITUTE OF SANITARY INSPECTOR COLLEGE, NAGARALA","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68237","UNITEDWORLD SCHOOL OF COMPUTATIONAL INTELLIGENCE","Legacy Core","true","","","","","","true","Fee Regulation Slab — Gujarat (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66533","SYMBIOSIS CENTRE FOR MANAGEMENT STUDIES, BENGALURU","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66534","JAY BHAVANI INSTITUTE OF MANAGEMENT","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-66536","ADITYAS GLOBAL INSTITUTE OF MANAGEMENT","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Karnataka (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68338","SHRI VAISHNAV INSTITUTE OF MANAGEMENT, GWALIOR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Madhya Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68339","KOPAL INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","","","","","","true","Fee Regulation Slab — Madhya Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68346","ANANT INSTITUTE OF MANAGEMENT STUDIES","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Madhya Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68386","NITANSHU MAHAVIDYALAYA NAVKHADA NAGBHID, TAH NAGBHID, DIST CHANDRAPUR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68411","MAHATMA GANDHI INSTITUTE OF TECHNOLOGY","Legacy Core","true","true","true","","","","true","TSCHE TAFRC 2024-25 Notification","None","None","official_verified","unavailable","unavailable"
"C-68449","GAYATRI INSTITUTE OF MANAGEMENT SUDHASARANGI BHUBANESWAR","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Odisha (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68474","SHREEYASH INSTITUTE OF MANAGEMENT STUDIES AND RESEARCH","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68475","U D PATHRIKAR INSTITUTE OF MANAGEMENT PATHRI","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Maharashtra (2024-25)","None","None","legacy","unavailable","unavailable"
"C-68511","XAVIER INSTITUTE OF MANAGEMENT JABALPUR XIMJ","Legacy Core","true","true","","","","","true","Fee Regulation Slab — Madhya Pradesh (2024-25)","None","None","legacy","unavailable","unavailable"
