cei_id,institution_name,category,state,district,university_affiliation,aishe_code,F_zscore,I_zscore,S_zscore,D_zscore,U_zscore,raw_composite,cei_score,competitiveness_band,verification_status
CEI-IN-C5C863204FBA,Padre Conceicao College of Engineering  Agnel Ashram Verna,College,Goa,South Goa,,C-30819,0.3129369912073794,-0.04436310259089708,-0.36137505868530856,-0.16786636313213985,-0.13099235039611698,3.4495618144866995,52.268151131114536,Moderate,VERIFIED
CEI-IN-E6E664045134,Vidya Vikas Mandals Govind Ramnath Kare College of Law  Margao,College,Goa,South Goa,,C-30838,1.278571135504436,0.06883076892822212,-0.20936243349751177,-0.0771388614703434,0.21398088610380503,8.04009341041101,80.32492400015792,Competitive,VERIFIED
CEI-IN-145BB7DEF2D0,Smt. Dhapu Devi Memorial Mahavidyalaya,College,Rajasthan,Barmer,,C-30904,-0.3844654463404946,0.6000018883286019,1.4177992088011535,-0.24283085370178473,1.4743117500122183,8.681899798685603,82.95629515575033,Competitive,VERIFIED
CEI-IN-4C58C4A6F711,"Sri Sai Womens Degree College, Anantapur",College,Andhra Pradesh,Ananthapuramu,,C-30990,-0.1162337395913122,-0.07273743273972878,-0.47063675887287415,0.030719839420310216,1.6474190946933538,3.1305737094437234,49.85194835958782,Moderate,VERIFIED
CEI-IN-FC87F5326A81,"Haindavi College of Education, Dharmavaram",College,Andhra Pradesh,Ananthapuramu,,C-30999,0.2056443085077064,-0.017593845549597777,-0.11363689677225197,0.16090086046200355,-1.4368675277975242,3.272922945301871,50.888309842473056,Moderate,VERIFIED
CEI-IN-D243864887AE,"Sri Vani Degree and PG College, Anantapur",College,Andhra Pradesh,Ananthapuramu,,C-31014,0.3129369912073794,-1.253750958266651,-2.545038439581987,0.3200058096648527,-0.26255509491372137,-5.333129327722494,4.82648347743693,Emerging,VERIFIED
CEI-IN-AE24A021ED7B,"Govt College, Muktsar",College,Punjab,Sri Muktsar Sahib,,C-31032,2.7806686932998566,0.11840689902556806,0.04811793393846411,0.37687882237472936,-0.26994834794333006,14.534110528984593,95.52884045955228,High,VERIFIED
CEI-IN-33E437A7CF42,SHRI RAWATPURA SARKAR INSTITUTE OF  PROFESSIONAL STUDIES SHIVPURI,College,Madhya Pradesh,Shivpuri,,C-31065,-0.008941056891639378,0.30045302001736474,0.9596017250846116,0.2771583066591067,-0.9427177515824504,6.832153360270995,74.51142958663982,Competitive,VERIFIED
CEI-IN-9703DEB69647,INSTITUTE OF COMPUTER SCIENCE & TECHNOLOGY BETUL,College,Madhya Pradesh,Betul,,C-31160,0.42022967390705246,-0.24529401788427685,-0.36213003341457967,0.18102635859850322,-0.7316870893794089,3.281608051949257,50.9593746298709,Moderate,VERIFIED
CEI-IN-85F4405A2436,"ACADEMY OF JOURNALISM & BROADCAST COMMUNICATION, HOSHANGABAD",College,Madhya Pradesh,Narmadapuram,,C-31213,-0.43811178769033104,-0.19173915921810614,-0.09028737445495834,0.20634815788178063,-1.1366072920221875,0.8086795936385814,32.873386237119504,Moderate,VERIFIED
CEI-IN-DBEE4C1FB0A8,"NICE INSTITUTE OF COMPUTER EDUCATION , MANDLA",College,Madhya Pradesh,Mandla,,C-31259,0.36658333255721565,1.5027473510232647,1.666750257662773,-0.026723954843972816,-0.9599616085212075,13.096707097881499,93.94764893995026,High,VERIFIED
CEI-IN-EE6C84690301,INDIRA GANDHI COMPUTER TECHNOLOGY BEOHARI,College,Madhya Pradesh,Shahdol,,C-31297,0.09835162580803358,0.4477184529820954,0.0030854827301816305,-0.6675026130220051,-0.4571532871270917,4.144400754354357,57.299932883256346,Moderate,VERIFIED
CEI-IN-6A37DACD6284,J.M. COMPUTER ITARSI,College,Madhya Pradesh,Narmadapuram,,C-31332,0.15199796715787015,0.40876550102701825,0.8630286025916987,-0.5959666384126407,1.1294282060642733,7.83486777938406,79.37541947964783,Competitive,VERIFIED
CEI-IN-9A7BBBBAD631,CENTRE OF INFORMATION & MANAGEMENT KASHIPUR,College,Uttarakhand,Udham Singh Nagar,,C-31377,-0.3844654463404946,-0.2781038988217865,-0.11744249830048989,0.08665036139189455,-0.4514461147577992,1.0346269379315134,34.430889494255595,Moderate,VERIFIED
CEI-IN-DD81DF2BCC9C,"PACE COMPUTER INSTITUTE, KATNI m",College,Madhya Pradesh,Katni,,C-31412,0.2056443085077064,-0.5507686882448313,-1.2235369583133893,0.006301210166643134,-1.0162776259829247,-1.1366226240784023,20.348217458249437,Emerging,VERIFIED
CEI-IN-10F5DFD14B71,"Global Inst. of Paramedical Sciences, Kanuru",College,Andhra Pradesh,Krishna,,C-30653,-0.008941056891639378,-0.23995764968040775,-0.39848983453211617,-0.5064257977609014,1.4601554747673389,2.3694521194625096,44.22401200205298,Moderate,VERIFIED
CEI-IN-0F93EFD9E8CE,"GITAM Dental College and Hospital, Visakhapatnam",College,Andhra Pradesh,Visakhapatnam,,C-30674,0.09835162580803358,-0.18780048272595568,-0.5620914929872222,-0.5222972609442036,-0.4132888147918344,1.0361195327058965,34.45457775672154,Moderate,VERIFIED
CEI-IN-22A694795E4F,"Haryana College of Nursing, Sirsa",College,Haryana,Sirsa,,C-30729,-0.3844654463404946,-0.7556516547624545,-0.3258902594692313,1.4267670705215036,1.2476600380989682,2.1942940503125556,42.923131588298,Moderate,VERIFIED
CEI-IN-376E192C0038,"Baba Sri Chand College of Management , Nurpura",College,Punjab,Ludhiana,,C-30788,-0.22352642229098516,-0.2689973411088163,-0.22701626485643628,-0.5144034169216842,-0.10544095263884952,0.7921932151565381,32.776659165383556,Moderate,VERIFIED
CEI-IN-90A2D131640A,Goa Salesian Societys Don Bosco College  Panaji,College,Goa,North Goa,,C-30823,0.09835162580803358,0.8584814060457682,1.667199502006456,-0.10120195089187815,1.2605357455492558,11.860955691014697,91.83347151486439,High,VERIFIED
CEI-IN-F55AD86DD892,Devi Sharvani Education Societys V.M. Salgaocar College of Law Miramar Panaji,College,Goa,North Goa,,C-30825,1.6004491836034545,0.14952766137368487,-0.3185746617737901,0.5233928062427317,0.7693769112398982,10.361232280955814,88.35129693237002,Competitive,VERIFIED
CEI-IN-208494C6CBCE,Institute of Psychiatry & Human Behaviour Bambolim,College,Goa,North Goa,,C-30855,1.224924794154599,0.6990154209915381,0.9738199665047652,-0.03390027736306305,-0.5271420558373514,12.340115202027157,92.71388526984879,High,VERIFIED
CEI-IN-BA864CC6BFD6,Shree Bharateeya Sanskriti Prabodhinis Gomantak Ayurveda Mahavidyalaya & Research Centre  Shiroda,College,Goa,South Goa,,C-30874,0.5275223566067253,-0.3706164249781178,-0.24547584084854235,0.15194974124675598,1.6513401057577672,5.373676132306958,65.80796715227605,Competitive,VERIFIED
CEI-IN-09F377C36F34,"Dr. Radha Krishan Teachers Training College, Kuchaman City",College,Rajasthan,Nagaur,,C-30883,-0.22352642229098516,-0.4181048560812371,-0.6670149558329398,-0.966717893270304,-0.6832416241603465,-1.86473471486318,16.577835682419362,Emerging,VERIFIED
CEI-IN-FE9D7888E834,"Smt. Seeta Devi Chunni Lal Baradia Government Girls College, Pipar City",College,Rajasthan,Jodhpur,,C-30907,0.3129369912073794,0.16402305756052074,0.4040174001853399,0.8982152904006153,-0.2559746391597836,7.4554955255654605,77.63433218840065,Competitive,VERIFIED
CEI-IN-65D27A2649DD,"St. Stephen College, Kishangarh",College,Rajasthan,Ajmer,,C-30912,-0.27717276364082155,1.0832358770828878,1.1940651590033098,0.8369244632749169,0.392855993920578,10.487866250749782,88.65727032255518,Competitive,VERIFIED
CEI-IN-F68FBA78CFFF,"N.S.P.R. Government Degree College for Women, Hindupur",College,Andhra Pradesh,Sri Sathya Sai,,C-30920,0.8494004047057437,0.40052754738255686,0.5168438047263961,-0.08868603158995975,-0.6133985744898028,8.765048166228437,83.256346480319,Competitive,VERIFIED
CEI-IN-DA474E9A8C18,"S.K.N.S. Amruthavali Mahila Kalasala, Kadiri",College,Andhra Pradesh,Ananthapuramu,,C-30959,-0.16988008094114876,0.3653781761638919,0.6742871659081883,-0.9606210622936555,1.0095743500814627,5.460677187095728,66.33305697027123,Competitive,VERIFIED
