id,stableKey,name,state,city,aisheCode,website_present,courses_present,fees_present,fees_verified,rankings_present,placements_present,seats_present,cutoffs_present,source_metadata_present,truth_grade,frontend_fee_visible,frontend_placement_visible,frontend_ranking_visible,num_courses,num_rankings,num_placement_fields,num_fee_fields,num_cutoffs,num_seats
"C-10929","C-10929","Govt. Women's college,Keonjhar","Odisha","","C-10929","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10930","C-10930","Santoosi Maa Regional College, Jharbelda","Odisha","","C-10930","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10931","C-10931","Degree Goorumahisani Iron College","Odisha","","C-10931","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10932","C-10932","Keonjhar Law College, Keonjhar","Odisha","","C-10932","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10933","C-10933","Anandapur College, Anandapur","Odisha","","C-10933","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10934","C-10934","Luipa Mahaavidyalaya, Radho","Odisha","","C-10934","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-30924","C-30924","A.N.K. Degree College, Gorantla","Andhra Pradesh","","C-30924","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10935","C-10935","Kaptipada College, Kaptipada","Odisha","","C-10935","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10936","C-10936","Barbil College, Barbil","Odisha","","C-10936","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10938","C-10938","Betnoti College, Betnoti","Odisha","","C-10938","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10940","C-10940","Salabani G.P College, Salabani","Odisha","","C-10940","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10941","C-10941","Seemaanta M.V, Jharapokharia","Odisha","","C-10941","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10942","C-10942","Dadhibaman College, Turmunga","Odisha","","C-10942","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10943","C-10943","Khunta Degree College, Khunta","Odisha","","C-10943","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10944","C-10944","B.B College, Baiganbadia","Odisha","","C-10944","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10945","C-10945","Jagannath M.V. Nayagarh, Batto","Odisha","","C-10945","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10946","C-10946","Rairangpur  College, Rairangpur","Odisha","","C-10946","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-32502","C-32502","World Computer Centre","Madhya Pradesh","","C-32502","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10948","C-10948","Karanjia  Autonomous College, Karanjia","Odisha","","C-10948","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10949","C-10949","Regional Degree Cwollege, Udayapur","Odisha","","C-10949","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10950","C-10950","B.B Mahavidyalaya, Harichandanpur","Odisha","","C-10950","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10951","C-10951","Joda Women's College,joda","Odisha","","C-10951","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10953","C-10953","U.B.S College, Chaksuliapada","Odisha","","C-10953","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10954","C-10954","P.S College, Jhumpura","Odisha","","C-10954","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10955","C-10955","Govt. Women's College,Baripada","Odisha","","C-10955","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10956","C-10956","Mayurbhanj Law College, Baripada","Odisha","","C-10956","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10957","C-10957","Maa Basuli M.V Thakurmunda","Odisha","","C-10957","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10958","C-10958","Anchalika M.V. Hatadihi","Odisha","","C-10958","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-32623","C-32623","V.T.J.M. & I.V.T.R. Degree College, Mangalagiri","Andhra Pradesh","","C-32623","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10959","C-10959","U.N College, Nalagaja","Odisha","","C-10959","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10960","C-10960","Badampahar Degree College, Badampahar","Odisha","","C-10960","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10961","C-10961","Mahapat Mahavidyalaya, Janghira","Odisha","","C-10961","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10962","C-10962","D.L.Degree College, Bahalda","Odisha","","C-10962","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10963","C-10963","S.S Mahavidyalaya, Kuamara","Odisha","","C-10963","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10964","C-10964","B.T.Women's College,Chhenapodi","Odisha","","C-10964","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10965","C-10965","Sukruli Degree College, Sukruli","Odisha","","C-10965","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10966","C-10966","Boula +3 Degree College, Soso","Odisha","","C-10966","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10967","C-10967","P.S. College, Suliapada","Odisha","","C-10967","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10968","C-10968","Banabhumi College, Rangamatia","Odisha","","C-10968","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11928","C-11928","Rani Birla Girls' College","West Bengal","","C-11928","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-32810","C-32810","S.V.R.M. College, Nagaram","Andhra Pradesh","","C-32810","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10969","C-10969","Meghasan College, Nudadiha","Odisha","","C-10969","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10970","C-10970","Dharanidhar (Auto) College, Keonjhar","Odisha","","C-10970","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10971","C-10971","Charigarh M.V. Telkoi","Odisha","","C-10971","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10980","C-10980","Mahila Shikshanshastra Mahavidyalaya, Market Yard, Yuth Bank","Maharashtra","","C-10980","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10981","C-10981","Vishwakarma Dadasaheb Chavan Institute of Management and Research,Malawadi","Maharashtra","","C-10981","true","","true","","true","","","","true","legacy","true","","true","","1","","6","",""
"C-10982","C-10982","Yashwantrao Chavan Warana Mahavidyalaya, Warananagar","Maharashtra","","C-10982","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10983","C-10983","College of Education Pantacha Kot, Somwar Peth,  KARAD","Maharashtra","","C-10983","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10984","C-10984","Nemgonda Dada Patil Night College of  Arts & Commerce","Maharashtra","","C-10984","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10987","C-10987","Yashwantrao Chavan Mahavidyalaya,   HALKARNI","Maharashtra","","C-10987","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10989","C-10989","Arts, Comm. & Science College, VATHAR-STATION,","Maharashtra","","C-10989","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-32924","C-32924","St . Lawrence College of Higher Education","Delhi","","C-32924","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10990","C-10990","Shrimant Jayashrimaladevi Naik Nimbalkar Institute of Management Studies, Phaltan","Maharashtra","","C-10990","true","","true","","true","","","","true","legacy","true","","true","","1","","6","",""
"C-10991","C-10991","Satara College of Engineering and Management,","Maharashtra","","C-10991","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-10992","C-10992","Modern Education Society's College of Education, Vita","Maharashtra","","C-10992","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10993","C-10993","Janata Shikshan Sanstha's Kisan Veer Mahavidyalaya, Wai","Maharashtra","","C-10993","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10994","C-10994","Balasaheb Desai College, PATAN","Maharashtra","","C-10994","true","true","true","","","true","","","true","legacy","true","","","6","","1","6","",""
"C-10995","C-10995","Aravind Gavali College of Pharmacy,","Maharashtra","","C-10995","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10996","C-10996","Kolhapur Institute of Technology's College of Engineering (Autonomous),  GOKUL-SHIRGAON","Maharashtra","","C-10996","true","","true","true","true","","","","true","official_verified","true","","true","","1","","6","",""
"C-10997","C-10997","Yashoda Technical campus Faculty of Pharmacy,  Wadhe","Maharashtra","","C-10997","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10998","C-10998","Sant Dnyaneshwar Shikshan Sansthas Hon. Shri. Annasaheb Dange Arts, Commerce and Science College, Hatkanangale","Maharashtra","","C-10998","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-32980","C-32980","PT. J.N.M. MEDICAL COLLEGE, RAIPUR","Chhattisgarh","","C-32980","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-10999","C-10999","Arts and Commerce College,  KADEPUR","Maharashtra","","C-10999","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11","C-11","Cadila Pharmaceuticals Clinical Research","Gujarat","","C-11","","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-110","C-110","Sanjaybhai Rajguru College of Engineering,036","Gujarat","","C-110","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-11000","C-11000","R.B.Madkholkar College, CHANDGAD","Maharashtra","","C-11000","true","true","true","","","true","","","true","legacy","true","","","6","","1","6","",""
"C-11001","C-11001","Mahila Mahavidyalaya, Mangalwar Peth, KARAD","Maharashtra","","C-11001","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11002","C-11002","Modern College of Education, MALKAPUR, KARAD","Maharashtra","","C-11002","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11003","C-11003","Late H. G. Alias B. G. Kharade College of Education, Shivaji Peth, Kolhapur","Maharashtra","","C-11003","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11004","C-11004","Shrimant Babasaheb Deshmukh Mahavidyalaya, Atpadi","Maharashtra","","C-11004","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11005","C-11005","Vaibhav Shikshan Sanstha,College of Education (B.Ed.), Vita Tal - Khanapur Dist - Sangli","Maharashtra","","C-11005","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-33097","C-33097","COLLEGE OF HOME SCIENCE","Uttar Pradesh","","C-33097","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11006","C-11006","Ajara Mahavidyalaya,     AJARA","Maharashtra","","C-11006","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11007","C-11007","Loknete Ma.Hanmantrao Patil Charitable Trusts, Adarsh Institute of Technology &  Reserch Centre Tal. Khanapur Dist. Sangli","Maharashtra","","C-11007","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-11008","C-11008","Dr. Ashok Gujar Technical Institute's Dr.Daulatrao Aher College of Engineering, Banavadi, KARAD, Tal. Karad","Maharashtra","","C-11008","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-11009","C-11009","Government College of Engineering, Karad","Maharashtra","","C-11009","true","true","true","true","","true","","","true","official_verified","true","","","114","","1","6","",""
"C-10988","C-10988","Rajarshi Shahu Arts and Commerce College,   RUKADI","Maharashtra","","C-10988","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-8838","C-8838","SES'S R.C.PATEL INSTITUTE OF TECHNOLOGY, SHIRPUR","Maharashtra","","C-8838","true","","true","true","true","","","","true","official_verified","true","","true","","1","","6","",""
"C-11010","C-11010","SHRI BALASAHEB MANE SHIKSHAN PRASARAK MANDALS ASHOKRAO MANE GROUP OF INSTITUTIONS","Maharashtra","","C-11010","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11011","C-11011","Sushila Shankarrao Gadhave Mahavidyalaya, Khandala Tal. Khandala Dist. Satara","Maharashtra","","C-11011","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11012","C-11012","Dr. Ghali College, GADHINGLAJ","Maharashtra","","C-11012","true","true","true","","","true","","","true","legacy","true","","","12","","1","6","",""
"C-33300","C-33300","Rani Durgawati College of Horticulture","Chhattisgarh","","C-33300","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11013","C-11013","Bhogawati Mahavidyalaya KURUKALI","Maharashtra","","C-11013","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11014","C-11014","Priyadarshini Dnyan Prabodhini's Law College, PHALTAN","Maharashtra","","C-11014","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
"C-11015","C-11015","Walchand  College of Engineering , Vishrambag","Maharashtra","","C-11015","true","","true","true","","true","","","true","official_verified","true","","","","","1","6","",""
"C-11016","C-11016","Arts,Commerce & Science Mahavidyalaya, ASURLE-PORLE","Maharashtra","","C-11016","true","","true","","","true","","","true","legacy","true","","","","","1","5","",""
