cei_id,institution_name,category,state,district,university_affiliation,source_year,verification_status,aishe_code,naac_grade,established_year
CEI-IN-49C8ABFB2BA3,SHRI J G CO-OPERATIVE HOSPITAL & RESEARCH BELGAUM,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-4289,,1988
CEI-IN-6B6E5A7FBF86,PRINCE SCHOOL OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4212,,2004
CEI-IN-5FD8C779129C,S G V INSTITUTE OF NURSING BELGAUM,Standalone,Karnataka,Belagavi,,2020-21,VERIFIED,S-4240,,2005
CEI-IN-727B381B1261,BAPUJI SCHOOL OF NURSING SHIMOGA,Standalone,Karnataka,Shivamogga,,2020-21,VERIFIED,S-3957,,2003
CEI-IN-D5643A7121BE,KALPATHARU SCHOOL OF NURSING BELTHANGADY,Standalone,Karnataka,Dakshina Kannada,,2020-21,VERIFIED,S-4087,,2004
CEI-IN-7D4D68BCE7C8,NIRMALA SCHOOL OF NURSING SHIMOGA,Standalone,Karnataka,Shivamogga,,2020-21,VERIFIED,S-4184,,2004
CEI-IN-E1A9F42DBC15,SUNSHINE INSTITUTE OF PARAMEDICAL SCIENCES,Standalone,Karnataka,Bidar,,2020-21,VERIFIED,S-18732,,2019
CEI-IN-841F4DD9277E,KPSM PARA MEDICAL COLLEGE,Standalone,Karnataka,Bengaluru South,,2020-21,VERIFIED,S-18721,,1999
CEI-IN-15E5D825D2B8,B L S SCHOOL OF NURSING MANDYA,Standalone,Karnataka,Mandya,,2020-21,VERIFIED,S-3945,,2003
CEI-IN-66331D359B95,Dr Gurachar Nargund College Of Pharmacy muradi,Standalone,Karnataka,Koppal,,2020-21,VERIFIED,S-18633,,-
CEI-IN-B0E686704760,GOVERNMENT POLYTECHNIC SIRA,Standalone,Karnataka,Tumakuru,,2020-21,VERIFIED,S-18629,,2019
CEI-IN-E1D4D2295243,N S V K TRUST BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4161,,1992
CEI-IN-75371575B9FD,NEW INDIAN SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-18620,,2019
CEI-IN-3C09566A1148,District Hospital Bagalkote,Standalone,Karnataka,Bagalkote,,2020-21,VERIFIED,S-17975,,2016
CEI-IN-1353B4FF667E,SMT SHAKUNTALA INSTITUTE OF PARAMEDICAL SCIENCES HUBBLI,Standalone,Karnataka,Dharwad,,2020-21,VERIFIED,S-18591,,2019
CEI-IN-33BB80474BA5,LITTLE FLOWER INSTITUTE OF PARA MEDICAL SCIENCES,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-18590,,2003
CEI-IN-5FE2AC8D8CE6,CHIGATERI DISTRICT HOSPITAL DAVANGERE,Standalone,Karnataka,Davanagere,,2020-21,VERIFIED,S-19121,,-
CEI-IN-68D86E83A878,VISWA SAI SCHOOL OF NURSING BANGALORE,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-4413,,2003
CEI-IN-707FF1D85DC0,VIJAYALAKSHMI SCHOOL OF NURSING KOLAR,Standalone,Karnataka,Kolar,,2020-21,VERIFIED,S-4406,,2005
CEI-IN-A7568EFC89CB,SHUSHRUSHA SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-19094,,2003
CEI-IN-D76253A66BE4,SHARADA SCHOOL OF NURSING,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-19092,,2019
CEI-IN-D4177C0A0DED,BADOL DEVI COLLEGE OF PHARMACY,Standalone,Karnataka,Bengaluru Urban,,2020-21,VERIFIED,S-18932,,2019
