frontend_route_id,catalog_id,canonical_core_id,normalized_name,seat_matrix_id,engineering_cutoffs_id,resolver_output_id,mismatch_type,risk_level,recommended_fix
"CORE-AICTE-1-44641952602","CORE-AICTE-1-44641952602","CORE-AICTE-1-44641952602","AICTE Institution 1-44641952602","MISSING","MISSING","CORE-AICTE-1-44641952602","NONE","SAFE","None"
"CORE-AICTE-1-44642237208","CORE-AICTE-1-44642237208","CORE-AICTE-1-44642237208","AICTE Institution 1-44642237208","MISSING","MISSING","CORE-AICTE-1-44642237208","NONE","SAFE","None"
"CORE-AICTE-1-44642250885","CORE-AICTE-1-44642250885","CORE-AICTE-1-44642250885","AICTE Institution 1-44642250885","MISSING","MISSING","CORE-AICTE-1-44642250885","NONE","SAFE","None"
"CORE-AICTE-1-44642276487","CORE-AICTE-1-44642276487","CORE-AICTE-1-44642276487","AICTE Institution 1-44642276487","MISSING","MISSING","CORE-AICTE-1-44642276487","NONE","SAFE","None"
"CORE-AICTE-1-44642295707","CORE-AICTE-1-44642295707","CORE-AICTE-1-44642295707","AICTE Institution 1-44642295707","MISSING","MISSING","CORE-AICTE-1-44642295707","NONE","SAFE","None"
"CORE-AICTE-1-44642302285","CORE-AICTE-1-44642302285","CORE-AICTE-1-44642302285","AICTE Institution 1-44642302285","MISSING","MISSING","CORE-AICTE-1-44642302285","NONE","SAFE","None"
"CORE-AICTE-1-44642355580","CORE-AICTE-1-44642355580","CORE-AICTE-1-44642355580","AICTE Institution 1-44642355580","MISSING","MISSING","CORE-AICTE-1-44642355580","NONE","SAFE","None"
"CORE-AICTE-1-44642356386","CORE-AICTE-1-44642356386","CORE-AICTE-1-44642356386","AICTE Institution 1-44642356386","MISSING","MISSING","CORE-AICTE-1-44642356386","NONE","SAFE","None"
"CORE-AICTE-1-44642485642","CORE-AICTE-1-44642485642","CORE-AICTE-1-44642485642","AICTE Institution 1-44642485642","MISSING","MISSING","CORE-AICTE-1-44642485642","NONE","SAFE","None"
"CORE-AICTE-1-44642502034","CORE-AICTE-1-44642502034","CORE-AICTE-1-44642502034","AICTE Institution 1-44642502034","MISSING","MISSING","CORE-AICTE-1-44642502034","NONE","SAFE","None"
"CORE-AICTE-1-44642659248","CORE-AICTE-1-44642659248","CORE-AICTE-1-44642659248","AICTE Institution 1-44642659248","MISSING","MISSING","CORE-AICTE-1-44642659248","NONE","SAFE","None"
"CORE-AICTE-1-44642712421","CORE-AICTE-1-44642712421","CORE-AICTE-1-44642712421","AICTE Institution 1-44642712421","MISSING","MISSING","CORE-AICTE-1-44642712421","NONE","SAFE","None"
"CORE-AICTE-1-44642826943","CORE-AICTE-1-44642826943","CORE-AICTE-1-44642826943","AICTE Institution 1-44642826943","MISSING","MISSING","CORE-AICTE-1-44642826943","NONE","SAFE","None"
"CORE-AICTE-1-44642874041","CORE-AICTE-1-44642874041","CORE-AICTE-1-44642874041","AICTE Institution 1-44642874041","MISSING","MISSING","CORE-AICTE-1-44642874041","NONE","SAFE","None"
"CORE-AICTE-1-44642961216","CORE-AICTE-1-44642961216","CORE-AICTE-1-44642961216","AICTE Institution 1-44642961216","MISSING","MISSING","CORE-AICTE-1-44642961216","NONE","SAFE","None"
"CORE-AICTE-1-44642964305","CORE-AICTE-1-44642964305","CORE-AICTE-1-44642964305","AICTE Institution 1-44642964305","MISSING","MISSING","CORE-AICTE-1-44642964305","NONE","SAFE","None"
"CORE-AICTE-1-44642965002","CORE-AICTE-1-44642965002","CORE-AICTE-1-44642965002","AICTE Institution 1-44642965002","MISSING","MISSING","CORE-AICTE-1-44642965002","NONE","SAFE","None"
"CORE-AICTE-1-44642967201","CORE-AICTE-1-44642967201","CORE-AICTE-1-44642967201","AICTE Institution 1-44642967201","MISSING","MISSING","CORE-AICTE-1-44642967201","NONE","SAFE","None"
"CORE-AICTE-1-44643122522","CORE-AICTE-1-44643122522","CORE-AICTE-1-44643122522","AICTE Institution 1-44643122522","MISSING","MISSING","CORE-AICTE-1-44643122522","NONE","SAFE","None"
"CORE-AICTE-1-44643164961","CORE-AICTE-1-44643164961","CORE-AICTE-1-44643164961","AICTE Institution 1-44643164961","MISSING","MISSING","CORE-AICTE-1-44643164961","NONE","SAFE","None"
"CORE-AICTE-1-44643230639","CORE-AICTE-1-44643230639","CORE-AICTE-1-44643230639","AICTE Institution 1-44643230639","MISSING","MISSING","CORE-AICTE-1-44643230639","NONE","SAFE","None"
"CORE-AICTE-1-44643311346","CORE-AICTE-1-44643311346","CORE-AICTE-1-44643311346","AICTE Institution 1-44643311346","MISSING","MISSING","CORE-AICTE-1-44643311346","NONE","SAFE","None"
"CORE-AICTE-1-44643337669","CORE-AICTE-1-44643337669","CORE-AICTE-1-44643337669","AICTE Institution 1-44643337669","MISSING","MISSING","CORE-AICTE-1-44643337669","NONE","SAFE","None"
"CORE-AICTE-1-44643357539","CORE-AICTE-1-44643357539","CORE-AICTE-1-44643357539","AICTE Institution 1-44643357539","MISSING","MISSING","CORE-AICTE-1-44643357539","NONE","SAFE","None"
"CORE-AICTE-1-44643427751","CORE-AICTE-1-44643427751","CORE-AICTE-1-44643427751","AICTE Institution 1-44643427751","MISSING","MISSING","CORE-AICTE-1-44643427751","NONE","SAFE","None"
"CORE-AICTE-1-44643459460","CORE-AICTE-1-44643459460","CORE-AICTE-1-44643459460","AICTE Institution 1-44643459460","MISSING","MISSING","CORE-AICTE-1-44643459460","NONE","SAFE","None"
"CORE-AICTE-1-44643462613","CORE-AICTE-1-44643462613","CORE-AICTE-1-44643462613","AICTE Institution 1-44643462613","MISSING","MISSING","CORE-AICTE-1-44643462613","NONE","SAFE","None"
"CORE-AICTE-1-44643467113","CORE-AICTE-1-44643467113","CORE-AICTE-1-44643467113","AICTE Institution 1-44643467113","MISSING","MISSING","CORE-AICTE-1-44643467113","NONE","SAFE","None"
"CORE-AICTE-1-44643471242","CORE-AICTE-1-44643471242","CORE-AICTE-1-44643471242","AICTE Institution 1-44643471242","MISSING","MISSING","CORE-AICTE-1-44643471242","NONE","SAFE","None"
"CORE-AICTE-1-44643656305","CORE-AICTE-1-44643656305","CORE-AICTE-1-44643656305","AICTE Institution 1-44643656305","MISSING","MISSING","CORE-AICTE-1-44643656305","NONE","SAFE","None"
